test_idx,wt_idx,n_mutations,delta_ll,abs_ll,wt_abs_ll,entropy,logit_native,joint_ll
157,0,1,-4.250000,-1.189057,-1.172648,1.277084,19.317326,-121.949890
158,0,1,-6.187500,-1.196538,-1.172648,1.277084,19.317326,-121.949890
159,0,1,-0.500000,-1.174579,-1.172648,1.277084,19.317326,-121.949890
160,0,1,-8.000000,-1.203536,-1.172648,1.277084,19.317326,-121.949890
161,0,1,-6.375000,-1.197262,-1.172648,1.277084,19.317326,-121.949890
162,0,1,-8.937500,-1.207156,-1.172648,1.277084,19.317326,-121.949890
163,0,1,-5.437500,-1.193642,-1.172648,1.277084,19.317326,-121.949890
164,0,1,-6.375000,-1.197262,-1.172648,1.277084,19.317326,-121.949890
165,0,1,-2.250000,-1.181335,-1.172648,1.277084,19.317326,-121.949890
166,0,1,-9.375000,-1.208845,-1.172648,1.277084,19.317326,-121.949890
167,0,1,-4.125000,-1.188575,-1.172648,1.277084,19.317326,-121.949890
168,0,1,-7.187500,-1.200399,-1.172648,1.277084,19.317326,-121.949890
169,0,1,-8.125000,-1.204019,-1.172648,1.277084,19.317326,-121.949890
170,0,1,-13.625000,-1.225254,-1.172648,1.277084,19.317326,-121.949890
171,0,1,-11.937500,-1.218739,-1.172648,1.277084,19.317326,-121.949890
172,0,1,-10.062500,-1.211500,-1.172648,1.277084,19.317326,-121.949890
173,0,1,-9.000000,-1.207397,-1.172648,1.277084,19.317326,-121.949890
174,0,1,-10.500000,-1.213189,-1.172648,1.277084,19.317326,-121.949890
175,0,1,-6.625000,-1.198227,-1.172648,1.277084,19.317326,-121.949890
176,0,1,-8.750000,-1.206432,-1.172648,1.277084,19.317326,-121.949890
177,0,1,-6.375000,-1.197262,-1.172648,1.277084,19.317326,-121.949890
178,0,1,-6.375000,-1.197262,-1.172648,1.277084,19.317326,-121.949890
179,0,1,-8.187500,-1.204260,-1.172648,1.277084,19.317326,-121.949890
180,0,1,-9.562500,-1.209569,-1.172648,1.277084,19.317326,-121.949890
181,0,1,-10.062500,-1.211500,-1.172648,1.277084,19.317326,-121.949890
182,0,1,-7.375000,-1.201123,-1.172648,1.277084,19.317326,-121.949890
183,0,1,-5.250000,-1.192918,-1.172648,1.277084,19.317326,-121.949890
184,0,1,-9.687500,-1.210052,-1.172648,1.277084,19.317326,-121.949890
185,0,1,-12.125000,-1.219463,-1.172648,1.277084,19.317326,-121.949890
186,0,1,-10.187500,-1.211982,-1.172648,1.277084,19.317326,-121.949890
187,0,1,-4.500000,-1.190023,-1.172648,1.277084,19.317326,-121.949890
188,0,1,-11.812500,-1.218256,-1.172648,1.277084,19.317326,-121.949890
189,0,1,-10.812500,-1.214395,-1.172648,1.277084,19.317326,-121.949890
190,0,1,-1.375000,-1.177957,-1.172648,1.277084,19.317326,-121.949890
191,0,1,-13.562500,-1.225013,-1.172648,1.277084,19.317326,-121.949890
192,0,1,-5.812500,-1.195090,-1.172648,1.277084,19.317326,-121.949890
193,0,1,-10.812500,-1.214395,-1.172648,1.277084,19.317326,-121.949890
194,0,1,-11.125000,-1.215602,-1.172648,1.277084,19.317326,-121.949890
195,0,1,-9.500000,-1.209328,-1.172648,1.277084,19.317326,-121.949890
196,0,1,-10.812500,-1.214395,-1.172648,1.277084,19.317326,-121.949890
197,0,1,-8.000000,-1.203536,-1.172648,1.277084,19.317326,-121.949890
198,0,1,-9.187500,-1.208121,-1.172648,1.277084,19.317326,-121.949890
199,0,1,-10.250000,-1.212224,-1.172648,1.277084,19.317326,-121.949890
200,0,1,-8.187500,-1.204260,-1.172648,1.277084,19.317326,-121.949890
201,0,1,-10.187500,-1.211982,-1.172648,1.277084,19.317326,-121.949890
202,0,1,-10.187500,-1.211982,-1.172648,1.277084,19.317326,-121.949890
203,0,1,-7.625000,-1.202088,-1.172648,1.277084,19.317326,-121.949890
204,0,1,-10.437500,-1.212947,-1.172648,1.277084,19.317326,-121.949890
205,0,1,-8.500000,-1.205467,-1.172648,1.277084,19.317326,-121.949890
206,0,1,-7.562500,-1.201847,-1.172648,1.277084,19.317326,-121.949890
207,0,1,-6.875000,-1.199193,-1.172648,1.277084,19.317326,-121.949890
208,0,1,-11.406250,-1.216688,-1.172648,1.277084,19.317326,-121.949890
209,0,1,-9.250000,-1.208362,-1.172648,1.277084,19.317326,-121.949890
210,0,1,-6.312500,-1.197021,-1.172648,1.277084,19.317326,-121.949890
211,0,1,-8.125000,-1.204019,-1.172648,1.277084,19.317326,-121.949890
212,0,1,-9.375000,-1.208845,-1.172648,1.277084,19.317326,-121.949890
213,0,1,-4.187500,-1.188816,-1.172648,1.277084,19.317326,-121.949890
214,0,1,-9.812500,-1.210534,-1.172648,1.277084,19.317326,-121.949890
215,0,1,-8.812500,-1.206673,-1.172648,1.277084,19.317326,-121.949890
216,0,1,-8.062500,-1.203778,-1.172648,1.277084,19.317326,-121.949890
217,0,1,-8.437500,-1.205225,-1.172648,1.277084,19.317326,-121.949890
218,0,1,-4.312500,-1.189299,-1.172648,1.277084,19.317326,-121.949890
219,0,1,-12.093750,-1.219342,-1.172648,1.277084,19.317326,-121.949890
220,0,1,-8.062500,-1.203778,-1.172648,1.277084,19.317326,-121.949890
221,0,1,-8.000000,-1.203536,-1.172648,1.277084,19.317326,-121.949890
222,0,1,-9.937500,-1.211017,-1.172648,1.277084,19.317326,-121.949890
223,0,1,-12.000000,-1.218980,-1.172648,1.277084,19.317326,-121.949890
224,0,1,-13.000000,-1.222841,-1.172648,1.277084,19.317326,-121.949890
225,0,1,-6.375000,-1.197262,-1.172648,1.277084,19.317326,-121.949890
226,0,1,-11.750000,-1.218015,-1.172648,1.277084,19.317326,-121.949890
227,0,1,-12.625000,-1.221393,-1.172648,1.277084,19.317326,-121.949890
228,0,1,-11.500000,-1.217050,-1.172648,1.277084,19.317326,-121.949890
229,0,1,-5.750000,-1.194849,-1.172648,1.277084,19.317326,-121.949890
230,0,1,-11.625000,-1.217532,-1.172648,1.277084,19.317326,-121.949890
231,0,1,-12.000000,-1.218980,-1.172648,1.277084,19.317326,-121.949890
232,0,1,-0.375000,-1.174096,-1.172648,1.277084,19.317326,-121.949890
233,0,1,-15.000000,-1.230563,-1.172648,1.277084,19.317326,-121.949890
234,0,1,-4.250000,-1.189057,-1.172648,1.277084,19.317326,-121.949890
235,0,1,-4.875000,-1.191471,-1.172648,1.277084,19.317326,-121.949890
236,0,1,-10.750000,-1.214154,-1.172648,1.277084,19.317326,-121.949890
237,0,1,-12.062500,-1.219222,-1.172648,1.277084,19.317326,-121.949890
238,0,1,-11.312500,-1.216326,-1.172648,1.277084,19.317326,-121.949890
239,0,1,-15.062500,-1.230805,-1.172648,1.277084,19.317326,-121.949890
240,0,1,-11.000000,-1.215119,-1.172648,1.277084,19.317326,-121.949890
241,0,1,-6.750000,-1.198710,-1.172648,1.277084,19.317326,-121.949890
242,0,1,-3.625000,-1.186644,-1.172648,1.277084,19.317326,-121.949890
243,0,1,-8.250000,-1.204502,-1.172648,1.277084,19.317326,-121.949890
244,0,1,-12.812500,-1.222117,-1.172648,1.277084,19.317326,-121.949890
245,0,1,-12.125000,-1.219463,-1.172648,1.277084,19.317326,-121.949890
246,0,1,-11.000000,-1.215119,-1.172648,1.277084,19.317326,-121.949890
247,0,1,-8.500000,-1.205467,-1.172648,1.277084,19.317326,-121.949890
248,0,1,-15.250000,-1.231529,-1.172648,1.277084,19.317326,-121.949890
249,0,1,-6.250000,-1.196779,-1.172648,1.277084,19.317326,-121.949890
250,0,1,-16.312500,-1.235631,-1.172648,1.277084,19.317326,-121.949890
251,0,1,-8.000000,-1.203536,-1.172648,1.277084,19.317326,-121.949890
252,0,1,-8.625000,-1.205949,-1.172648,1.277084,19.317326,-121.949890
253,0,1,-12.562500,-1.221152,-1.172648,1.277084,19.317326,-121.949890
254,0,1,-11.562500,-1.217291,-1.172648,1.277084,19.317326,-121.949890
255,0,1,-13.687500,-1.225496,-1.172648,1.277084,19.317326,-121.949890
256,0,1,-14.187500,-1.227426,-1.172648,1.277084,19.317326,-121.949890
257,0,1,-7.500000,-1.201606,-1.172648,1.277084,19.317326,-121.949890
258,0,1,-4.250000,-1.189057,-1.172648,1.277084,19.317326,-121.949890
259,0,1,-7.062500,-1.199916,-1.172648,1.277084,19.317326,-121.949890
260,0,1,-10.687500,-1.213913,-1.172648,1.277084,19.317326,-121.949890
261,0,1,-12.062500,-1.219222,-1.172648,1.277084,19.317326,-121.949890
262,0,1,-11.000000,-1.215119,-1.172648,1.277084,19.317326,-121.949890
263,0,1,-5.500000,-1.193884,-1.172648,1.277084,19.317326,-121.949890
264,0,1,-10.062500,-1.211500,-1.172648,1.277084,19.317326,-121.949890
265,0,1,-12.562500,-1.221152,-1.172648,1.277084,19.317326,-121.949890
266,0,1,-6.250000,-1.196779,-1.172648,1.277084,19.317326,-121.949890
267,0,1,-8.187500,-1.204260,-1.172648,1.277084,19.317326,-121.949890
268,0,1,-9.562500,-1.209569,-1.172648,1.277084,19.317326,-121.949890
269,0,1,-9.687500,-1.210052,-1.172648,1.277084,19.317326,-121.949890
270,0,1,-11.312500,-1.216326,-1.172648,1.277084,19.317326,-121.949890
271,0,1,-0.625000,-1.175061,-1.172648,1.277084,19.317326,-121.949890
272,0,1,-6.750000,-1.198710,-1.172648,1.277084,19.317326,-121.949890
273,0,1,1.000000,-1.168787,-1.172648,1.277084,19.317326,-121.949890
274,0,1,1.250000,-1.167822,-1.172648,1.277084,19.317326,-121.949890
275,0,1,-6.312500,-1.197021,-1.172648,1.277084,19.317326,-121.949890
276,0,1,-0.937500,-1.176268,-1.172648,1.277084,19.317326,-121.949890
277,0,1,-2.937500,-1.183990,-1.172648,1.277084,19.317326,-121.949890
278,0,1,-0.437500,-1.174337,-1.172648,1.277084,19.317326,-121.949890
279,0,1,1.750000,-1.165891,-1.172648,1.277084,19.317326,-121.949890
280,0,1,-3.187500,-1.184955,-1.172648,1.277084,19.317326,-121.949890
281,0,1,-0.625000,-1.175061,-1.172648,1.277084,19.317326,-121.949890
282,0,1,-2.562500,-1.182542,-1.172648,1.277084,19.317326,-121.949890
283,0,1,0.875000,-1.169270,-1.172648,1.277084,19.317326,-121.949890
284,0,1,-2.812500,-1.183507,-1.172648,1.277084,19.317326,-121.949890
285,0,1,1.375000,-1.167339,-1.172648,1.277084,19.317326,-121.949890
286,0,1,-3.000000,-1.184231,-1.172648,1.277084,19.317326,-121.949890
287,0,1,-0.687500,-1.175303,-1.172648,1.277084,19.317326,-121.949890
288,0,1,-0.437500,-1.174337,-1.172648,1.277084,19.317326,-121.949890
289,0,1,3.375000,-1.159617,-1.172648,1.277084,19.317326,-121.949890
290,0,1,2.875000,-1.161548,-1.172648,1.277084,19.317326,-121.949890
291,0,1,-4.625000,-1.190505,-1.172648,1.277084,19.317326,-121.949890
292,0,1,-9.125000,-1.207880,-1.172648,1.277084,19.317326,-121.949890
293,0,1,-1.875000,-1.179888,-1.172648,1.277084,19.317326,-121.949890
294,0,1,-6.937500,-1.199434,-1.172648,1.277084,19.317326,-121.949890
295,0,1,-2.937500,-1.183990,-1.172648,1.277084,19.317326,-121.949890
296,0,1,-3.375000,-1.185679,-1.172648,1.277084,19.317326,-121.949890
297,0,1,0.250000,-1.171683,-1.172648,1.277084,19.317326,-121.949890
298,0,1,-3.687500,-1.186886,-1.172648,1.277084,19.317326,-121.949890
299,0,1,-4.250000,-1.189057,-1.172648,1.277084,19.317326,-121.949890
300,0,1,-1.000000,-1.176509,-1.172648,1.277084,19.317326,-121.949890
301,0,1,-4.125000,-1.188575,-1.172648,1.277084,19.317326,-121.949890
302,0,1,-9.343750,-1.208724,-1.172648,1.277084,19.317326,-121.949890
303,0,1,-11.156250,-1.215723,-1.172648,1.277084,19.317326,-121.949890
304,0,1,-10.937500,-1.214878,-1.172648,1.277084,19.317326,-121.949890
305,0,1,-10.343750,-1.212585,-1.172648,1.277084,19.317326,-121.949890
306,0,1,-9.562500,-1.209569,-1.172648,1.277084,19.317326,-121.949890
307,0,1,-9.125000,-1.207880,-1.172648,1.277084,19.317326,-121.949890
308,0,1,-9.000000,-1.207397,-1.172648,1.277084,19.317326,-121.949890
309,0,1,-9.125000,-1.207880,-1.172648,1.277084,19.317326,-121.949890
310,0,1,-8.312500,-1.204743,-1.172648,1.277084,19.317326,-121.949890
311,0,1,-8.312500,-1.204743,-1.172648,1.277084,19.317326,-121.949890
312,0,1,-9.375000,-1.208845,-1.172648,1.277084,19.317326,-121.949890
313,0,1,-9.937500,-1.211017,-1.172648,1.277084,19.317326,-121.949890
314,0,1,-10.625000,-1.213671,-1.172648,1.277084,19.317326,-121.949890
315,0,1,-8.781250,-1.206553,-1.172648,1.277084,19.317326,-121.949890
316,0,1,-4.250000,-1.189057,-1.172648,1.277084,19.317326,-121.949890
317,0,1,-9.375000,-1.208845,-1.172648,1.277084,19.317326,-121.949890
318,0,1,-4.625000,-1.190505,-1.172648,1.277084,19.317326,-121.949890
319,0,1,-2.750000,-1.183266,-1.172648,1.277084,19.317326,-121.949890
320,0,1,-7.750000,-1.202571,-1.172648,1.277084,19.317326,-121.949890
321,0,1,-5.000000,-1.191953,-1.172648,1.277084,19.317326,-121.949890
322,0,1,-5.250000,-1.192918,-1.172648,1.277084,19.317326,-121.949890
323,0,1,-7.812500,-1.202812,-1.172648,1.277084,19.317326,-121.949890
324,0,1,-5.062500,-1.192195,-1.172648,1.277084,19.317326,-121.949890
325,0,1,-5.562500,-1.194125,-1.172648,1.277084,19.317326,-121.949890
326,0,1,-5.500000,-1.193884,-1.172648,1.277084,19.317326,-121.949890
327,0,1,-4.687500,-1.190747,-1.172648,1.277084,19.317326,-121.949890
328,0,1,-8.000000,-1.203536,-1.172648,1.277084,19.317326,-121.949890
329,0,1,-5.625000,-1.194366,-1.172648,1.277084,19.317326,-121.949890
330,0,1,-13.812500,-1.225978,-1.172648,1.277084,19.317326,-121.949890
331,0,1,-0.250000,-1.173613,-1.172648,1.277084,19.317326,-121.949890
332,0,1,-8.375000,-1.204984,-1.172648,1.277084,19.317326,-121.949890
333,0,1,-4.062500,-1.188334,-1.172648,1.277084,19.317326,-121.949890
334,0,1,-4.500000,-1.190023,-1.172648,1.277084,19.317326,-121.949890
335,0,1,-3.812500,-1.187368,-1.172648,1.277084,19.317326,-121.949890
336,0,1,-2.625000,-1.182783,-1.172648,1.277084,19.317326,-121.949890
337,0,1,-5.875000,-1.195332,-1.172648,1.277084,19.317326,-121.949890
338,0,1,-1.625000,-1.178922,-1.172648,1.277084,19.317326,-121.949890
339,0,1,-2.500000,-1.182301,-1.172648,1.277084,19.317326,-121.949890
340,0,1,-1.750000,-1.179405,-1.172648,1.277084,19.317326,-121.949890
341,0,1,-3.250000,-1.185196,-1.172648,1.277084,19.317326,-121.949890
342,0,1,-1.500000,-1.178440,-1.172648,1.277084,19.317326,-121.949890
343,0,1,-8.125000,-1.204019,-1.172648,1.277084,19.317326,-121.949890
344,0,1,-12.000000,-1.218980,-1.172648,1.277084,19.317326,-121.949890
345,0,1,-14.125000,-1.227185,-1.172648,1.277084,19.317326,-121.949890
346,0,1,-13.062500,-1.223083,-1.172648,1.277084,19.317326,-121.949890
