test_idx,wt_idx,n_mutations,delta_ll,abs_ll,wt_abs_ll,entropy,logit_native,joint_ll,entropy_at_site,native_ll_at_site,emb_cosine_dist_to_wt
39,0,1,-4.0698242188,-0.2860746086,-0.270361,0.548814,6.583952,-156.706238,1.824709,-0.848686,
40,0,1,-4.9335937500,-0.2894096375,-0.270361,0.548814,6.583952,-156.706238,1.824709,-0.848686,
41,0,1,-5.0976562500,-0.2900430560,-0.270361,0.548814,6.583952,-156.706238,1.824709,-0.848686,
42,0,1,-1.6025391817,-0.2765484154,-0.270361,0.548814,6.583952,-156.706238,1.824709,-0.848686,
43,0,1,-6.5371093750,-0.2956008017,-0.270361,0.548814,6.583952,-156.706238,1.824709,-0.848686,
44,0,1,-4.5029296875,-0.2877468169,-0.270361,0.548814,6.583952,-156.706238,1.824709,-0.848686,
45,0,1,-6.1132812500,-0.2939643860,-0.270361,0.548814,6.583952,-156.706238,1.824709,-0.848686,
46,0,1,-4.0263671875,-0.2859068215,-0.270361,0.548814,6.583952,-156.706238,1.824709,-0.848686,
47,0,1,-6.1464843750,-0.2940925956,-0.270361,0.548814,6.583952,-156.706238,1.824709,-0.848686,
48,0,1,-3.2668457031,-0.2829743028,-0.270361,0.548814,6.583952,-156.706238,1.824709,-0.848686,
49,0,1,-1.1933594942,-0.2749685645,-0.270361,0.548814,6.583952,-156.706238,1.824709,-0.848686,
50,0,1,-3.9184570312,-0.2854901850,-0.270361,0.548814,6.583952,-156.706238,1.824709,-0.848686,
51,0,1,-4.2607421875,-0.2868117392,-0.270361,0.548814,6.583952,-156.706238,1.824709,-0.848686,
52,0,1,-1.4873048067,-0.2761034966,-0.270361,0.548814,6.583952,-156.706238,1.824709,-0.848686,
53,0,1,-1.5019532442,-0.2761600316,-0.270361,0.548814,6.583952,-156.706238,1.824709,-0.848686,
54,0,1,-6.8549804688,-0.2968280911,-0.270361,0.548814,6.583952,-156.706238,0.062394,-0.007836,
55,0,1,-12.8632812500,-0.3200261891,-0.270361,0.548814,6.583952,-156.706238,0.062394,-0.007836,
56,0,1,-7.5634155273,-0.2995633781,-0.270361,0.548814,6.583952,-156.706238,0.062394,-0.007836,
57,0,1,-8.7382812500,-0.3040995300,-0.270361,0.548814,6.583952,-156.706238,0.062394,-0.007836,
58,0,1,-10.1562500000,-0.3095743060,-0.270361,0.548814,6.583952,-156.706238,0.062394,-0.007836,
59,0,1,-10.4599609375,-0.3107469380,-0.270361,0.548814,6.583952,-156.706238,0.042395,-0.006462,
60,0,1,-12.3046875000,-0.3178694546,-0.270361,0.548814,6.583952,-156.706238,0.042395,-0.006462,
61,0,1,-12.4238281250,-0.3183294535,-0.270361,0.548814,6.583952,-156.706238,0.042395,-0.006462,
62,0,1,-13.7109375000,-0.3232989907,-0.270361,0.548814,6.583952,-156.706238,0.042395,-0.006462,
63,0,1,-5.3281250000,-0.2909329236,-0.270361,0.548814,6.583952,-156.706238,0.064325,-0.008868,
64,0,1,-9.9511718750,-0.3087825179,-0.270361,0.548814,6.583952,-156.706238,0.064325,-0.008868,
65,0,1,-9.2460937500,-0.3060601950,-0.270361,0.548814,6.583952,-156.706238,0.064325,-0.008868,
66,0,1,-10.0117187500,-0.3090162873,-0.270361,0.548814,6.583952,-156.706238,0.064325,-0.008868,
67,0,1,-9.2529296875,-0.3060865998,-0.270361,0.548814,6.583952,-156.706238,0.064325,-0.008868,
68,0,1,-8.2255859375,-0.3021200299,-0.270361,0.548814,6.583952,-156.706238,0.071233,-0.011870,
69,0,1,-13.5585937500,-0.3227107823,-0.270361,0.548814,6.583952,-156.706238,0.071233,-0.011870,
70,0,1,-14.7812500000,-0.3274314702,-0.270361,0.548814,6.583952,-156.706238,0.071233,-0.011870,
71,0,1,-13.3984375000,-0.3220924139,-0.270361,0.548814,6.583952,-156.706238,0.071233,-0.011870,
72,0,1,-9.0976562500,-0.3054870963,-0.270361,0.548814,6.583952,-156.706238,0.071233,-0.011870,
73,0,1,-12.1582031250,-0.3173038661,-0.270361,0.548814,6.583952,-156.706238,0.071233,-0.011870,
74,0,1,-14.3632812500,-0.3258176744,-0.270361,0.548814,6.583952,-156.706238,0.071233,-0.011870,
75,0,1,-3.2929687500,-0.2830751538,-0.270361,0.548814,6.583952,-156.706238,0.439109,-0.084811,
76,0,1,-9.7011718750,-0.3078172505,-0.270361,0.548814,6.583952,-156.706238,0.439109,-0.084811,
77,0,1,-7.7031250000,-0.3001028001,-0.270361,0.548814,6.583952,-156.706238,0.439109,-0.084811,
78,0,1,-8.2070312500,-0.3020483851,-0.270361,0.548814,6.583952,-156.706238,0.439109,-0.084811,
79,0,1,-9.4140625000,-0.3067087233,-0.270361,0.548814,6.583952,-156.706238,0.439109,-0.084811,
80,0,1,-4.4931640625,-0.2877091169,-0.270361,0.548814,6.583952,-156.706238,0.439109,-0.084811,
81,0,1,-9.0527343750,-0.3053136468,-0.270361,0.548814,6.583952,-156.706238,0.439109,-0.084811,
82,0,1,-6.7924804688,-0.2965867817,-0.270361,0.548814,6.583952,-156.706238,0.439109,-0.084811,
83,0,1,-6.8520507812,-0.2968167961,-0.270361,0.548814,6.583952,-156.706238,0.439109,-0.084811,
84,0,1,-5.4702148438,-0.2914815247,-0.270361,0.548814,6.583952,-156.706238,0.439109,-0.084811,
85,0,1,-8.3867187500,-0.3027421534,-0.270361,0.548814,6.583952,-156.706238,0.439109,-0.084811,
86,0,1,-6.3193359375,-0.2947599888,-0.270361,0.548814,6.583952,-156.706238,0.439109,-0.084811,
87,0,1,-5.0771484375,-0.2899639010,-0.270361,0.548814,6.583952,-156.706238,0.439109,-0.084811,
88,0,1,-6.3852539062,-0.2950145006,-0.270361,0.548814,6.583952,-156.706238,0.439109,-0.084811,
89,0,1,-5.0107421875,-0.2897074819,-0.270361,0.548814,6.583952,-156.706238,0.439109,-0.084811,
90,0,1,-4.6494140625,-0.2883124053,-0.270361,0.548814,6.583952,-156.706238,0.439109,-0.084811,
91,0,1,-3.5341796875,-0.2840064764,-0.270361,0.548814,6.583952,-156.706238,0.667298,-0.143804,
92,0,1,-10.0312500000,-0.3090916872,-0.270361,0.548814,6.583952,-156.706238,0.667298,-0.143804,
93,0,1,-6.2460937500,-0.2944771945,-0.270361,0.548814,6.583952,-156.706238,0.667298,-0.143804,
94,0,1,-7.0380859375,-0.2975350618,-0.270361,0.548814,6.583952,-156.706238,0.667298,-0.143804,
95,0,1,-8.9726562500,-0.3050044477,-0.270361,0.548814,6.583952,-156.706238,0.667298,-0.143804,
96,0,1,-3.8593747616,-0.2852620482,-0.270361,0.548814,6.583952,-156.706238,0.667298,-0.143804,
97,0,1,-7.2236328125,-0.2982514799,-0.270361,0.548814,6.583952,-156.706238,0.667298,-0.143804,
98,0,1,-7.3574218750,-0.2987680435,-0.270361,0.548814,6.583952,-156.706238,0.667298,-0.143804,
99,0,1,-5.5087890625,-0.2916304469,-0.270361,0.548814,6.583952,-156.706238,0.667298,-0.143804,
100,0,1,-6.5029296875,-0.2954688370,-0.270361,0.548814,6.583952,-156.706238,0.667298,-0.143804,
101,0,1,-7.3691406250,-0.2988132834,-0.270361,0.548814,6.583952,-156.706238,0.667298,-0.143804,
102,0,1,-4.3403320312,-0.2871190310,-0.270361,0.548814,6.583952,-156.706238,0.667298,-0.143804,
103,0,1,-5.1864013672,-0.2903857231,-0.270361,0.548814,6.583952,-156.706238,0.667298,-0.143804,
104,0,1,-4.9072265625,-0.2893078327,-0.270361,0.548814,6.583952,-156.706238,0.667298,-0.143804,
105,0,1,-4.0996093750,-0.2861896157,-0.270361,0.548814,6.583952,-156.706238,0.667298,-0.143804,
106,0,1,-0.6367187500,-0.2728193700,-0.270361,0.548814,6.583952,-156.706238,1.805123,-1.036814,
107,0,1,-6.9960942268,-0.2973729372,-0.270361,0.548814,6.583952,-156.706238,1.805123,-1.036814,
108,0,1,-4.5136718750,-0.2877883017,-0.270361,0.548814,6.583952,-156.706238,1.805123,-1.036814,
109,0,1,-4.2705078125,-0.2868494391,-0.270361,0.548814,6.583952,-156.706238,1.805123,-1.036814,
110,0,1,-6.1035156250,-0.2939266860,-0.270361,0.548814,6.583952,-156.706238,1.805123,-1.036814,
111,0,1,-0.4296875000,-0.2720200121,-0.270361,0.548814,6.583952,-156.706238,1.805123,-1.036814,
112,0,1,-5.4785156250,-0.2915135622,-0.270361,0.548814,6.583952,-156.706238,1.805123,-1.036814,
113,0,1,-5.0009765625,-0.2896697819,-0.270361,0.548814,6.583952,-156.706238,1.805123,-1.036814,
114,0,1,-2.6201171875,-0.2804772854,-0.270361,0.548814,6.583952,-156.706238,1.805123,-1.036814,
115,0,1,-4.3085937500,-0.2869964838,-0.270361,0.548814,6.583952,-156.706238,1.805123,-1.036814,
116,0,1,-5.8808593750,-0.2930670083,-0.270361,0.548814,6.583952,-156.706238,1.805123,-1.036814,
117,0,1,-3.8081054688,-0.2850641012,-0.270361,0.548814,6.583952,-156.706238,1.805123,-1.036814,
118,0,1,-4.4091796875,-0.2873848677,-0.270361,0.548814,6.583952,-156.706238,1.805123,-1.036814,
119,0,1,-5.9658203125,-0.2933950424,-0.270361,0.548814,6.583952,-156.706238,0.215493,-0.034468,
120,0,1,-13.0117187500,-0.3205992877,-0.270361,0.548814,6.583952,-156.706238,0.215493,-0.034468,
121,0,1,-9.0761718750,-0.3054041266,-0.270361,0.548814,6.583952,-156.706238,0.215493,-0.034468,
122,0,1,-8.1191406250,-0.3017090261,-0.270361,0.548814,6.583952,-156.706238,0.215493,-0.034468,
123,0,1,-9.9296875000,-0.3086995482,-0.270361,0.548814,6.583952,-156.706238,0.215493,-0.034468,
124,0,1,-8.0429687500,-0.3014149368,-0.270361,0.548814,6.583952,-156.706238,0.215493,-0.034468,
125,0,1,-9.6953125000,-0.3077946305,-0.270361,0.548814,6.583952,-156.706238,0.215493,-0.034468,
126,0,1,-7.8037109375,-0.3004911542,-0.270361,0.548814,6.583952,-156.706238,0.215493,-0.034468,
127,0,1,-6.0390625000,-0.2936778367,-0.270361,0.548814,6.583952,-156.706238,0.215493,-0.034468,
128,0,1,-7.0781250000,-0.2976896763,-0.270361,0.548814,6.583952,-156.706238,0.215493,-0.034468,
129,0,1,-8.8437500000,-0.3045067489,-0.270361,0.548814,6.583952,-156.706238,0.215493,-0.034468,
130,0,1,-7.1955566406,-0.2981430590,-0.270361,0.548814,6.583952,-156.706238,0.215493,-0.034468,
131,0,1,-5.0371093750,-0.2898092866,-0.270361,0.548814,6.583952,-156.706238,0.215493,-0.034468,
132,0,1,-5.7626953125,-0.2926107943,-0.270361,0.548814,6.583952,-156.706238,0.215493,-0.034468,
133,0,1,-4.3769531250,-0.2872604430,-0.270361,0.548814,6.583952,-156.706238,0.215493,-0.034468,
134,0,1,-5.5478515625,-0.2917812765,-0.270361,0.548814,6.583952,-156.706238,0.215493,-0.034468,
135,0,1,-4.7600097656,-0.2887394130,-0.270361,0.548814,6.583952,-156.706238,0.908365,-0.217914,
136,0,1,-8.8515625000,-0.3045369089,-0.270361,0.548814,6.583952,-156.706238,0.908365,-0.217914,
137,0,1,-7.7773437500,-0.3003893495,-0.270361,0.548814,6.583952,-156.706238,0.908365,-0.217914,
138,0,1,-8.7539062500,-0.3041598499,-0.270361,0.548814,6.583952,-156.706238,0.908365,-0.217914,
139,0,1,-3.8491210938,-0.2852224708,-0.270361,0.548814,6.583952,-156.706238,0.908365,-0.217914,
140,0,1,-8.1152343750,-0.3016939461,-0.270361,0.548814,6.583952,-156.706238,0.908365,-0.217914,
141,0,1,-4.0039062500,-0.2858200967,-0.270361,0.548814,6.583952,-156.706238,0.908365,-0.217914,
142,0,1,-5.8662109375,-0.2930104733,-0.270361,0.548814,6.583952,-156.706238,0.908365,-0.217914,
143,0,1,-4.7989501953,-0.2888897657,-0.270361,0.548814,6.583952,-156.706238,0.908365,-0.217914,
144,0,1,-2.5878906250,-0.2803528607,-0.270361,0.548814,6.583952,-156.706238,0.908365,-0.217914,
145,0,1,-5.5131835938,-0.2916474342,-0.270361,0.548814,6.583952,-156.706238,0.908365,-0.217914,
146,0,1,-6.3212890625,-0.2947675288,-0.270361,0.548814,6.583952,-156.706238,0.908365,-0.217914,
147,0,1,-8.1679687500,-0.3018975556,-0.270361,0.548814,6.583952,-156.706238,0.908365,-0.217914,
148,0,1,-6.3593750000,-0.2949145734,-0.270361,0.548814,6.583952,-156.706238,0.908365,-0.217914,
149,0,1,-2.9687500000,-0.2818233669,-0.270361,0.548814,6.583952,-156.706238,0.908365,-0.217914,
150,0,1,-5.9433593750,-0.2933083177,-0.270361,0.548814,6.583952,-156.706238,0.908365,-0.217914,
151,0,1,-4.6301879883,-0.2882381678,-0.270361,0.548814,6.583952,-156.706238,0.908365,-0.217914,
152,0,1,-4.4682617188,-0.2876129746,-0.270361,0.548814,6.583952,-156.706238,0.908365,-0.217914,
153,0,1,-3.6875000000,-0.2845984399,-0.270361,0.548814,6.583952,-156.706238,0.908365,-0.217914,
154,0,1,-1.5429687500,-0.2763184011,-0.270361,0.548814,6.583952,-156.706238,0.656759,-0.231962,
155,0,1,-8.6445312500,-0.3037375808,-0.270361,0.548814,6.583952,-156.706238,0.656759,-0.231962,
156,0,1,-5.9664306641,-0.2933973968,-0.270361,0.548814,6.583952,-156.706238,0.656759,-0.231962,
157,0,1,-6.0833740234,-0.2938489318,-0.270361,0.548814,6.583952,-156.706238,0.656759,-0.231962,
158,0,1,-10.6679687500,-0.3115500808,-0.270361,0.548814,6.583952,-156.706238,0.656759,-0.231962,
159,0,1,-3.5136718750,-0.2839272916,-0.270361,0.548814,6.583952,-156.706238,0.656759,-0.231962,
160,0,1,-9.9296875000,-0.3086995482,-0.270361,0.548814,6.583952,-156.706238,0.656759,-0.231962,
161,0,1,-9.2734375000,-0.3061657846,-0.270361,0.548814,6.583952,-156.706238,0.656759,-0.231962,
162,0,1,-10.7421875000,-0.3118366301,-0.270361,0.548814,6.583952,-156.706238,0.656759,-0.231962,
163,0,1,-9.3398437500,-0.3064221740,-0.270361,0.548814,6.583952,-156.706238,0.656759,-0.231962,
164,0,1,-9.0507812500,-0.3053061068,-0.270361,0.548814,6.583952,-156.706238,0.656759,-0.231962,
165,0,1,-4.8964843750,-0.2892663479,-0.270361,0.548814,6.583952,-156.706238,0.656759,-0.231962,
166,0,1,-9.2031250000,-0.3058942854,-0.270361,0.548814,6.583952,-156.706238,0.656759,-0.231962,
167,0,1,-6.5021972656,-0.2954660058,-0.270361,0.548814,6.583952,-156.706238,0.656759,-0.231962,
168,0,1,-9.3554687500,-0.3064824939,-0.270361,0.548814,6.583952,-156.706238,0.656759,-0.231962,
169,0,1,-6.6074218750,-0.2958722711,-0.270361,0.548814,6.583952,-156.706238,0.436524,-0.079852,
170,0,1,-12.3085937500,-0.3178845346,-0.270361,0.548814,6.583952,-156.706238,0.436524,-0.079852,
171,0,1,-8.5136718750,-0.3032323122,-0.270361,0.548814,6.583952,-156.706238,0.436524,-0.079852,
172,0,1,-7.7636718750,-0.3003365695,-0.270361,0.548814,6.583952,-156.706238,0.436524,-0.079852,
173,0,1,-5.5574951172,-0.2918184996,-0.270361,0.548814,6.583952,-156.706238,0.436524,-0.079852,
174,0,1,-8.4667968750,-0.3030513227,-0.270361,0.548814,6.583952,-156.706238,0.436524,-0.079852,
175,0,1,-4.0380859375,-0.2859520614,-0.270361,0.548814,6.583952,-156.706238,0.436524,-0.079852,
176,0,1,-5.9414062500,-0.2933007777,-0.270361,0.548814,6.583952,-156.706238,0.436524,-0.079852,
177,0,1,-5.5683593750,-0.2918604612,-0.270361,0.548814,6.583952,-156.706238,0.436524,-0.079852,
178,0,1,-3.6992187500,-0.2846437097,-0.270361,0.548814,6.583952,-156.706238,0.436524,-0.079852,
179,0,1,-4.3540039062,-0.2871718109,-0.270361,0.548814,6.583952,-156.706238,0.436524,-0.079852,
180,0,1,-7.3320312500,-0.2986699939,-0.270361,0.548814,6.583952,-156.706238,0.436524,-0.079852,
181,0,1,-7.4101562500,-0.2989716530,-0.270361,0.548814,6.583952,-156.706238,0.436524,-0.079852,
182,0,1,-5.7824707031,-0.2926871479,-0.270361,0.548814,6.583952,-156.706238,0.436524,-0.079852,
183,0,1,-8.5498046875,-0.3033718169,-0.270361,0.548814,6.583952,-156.706238,0.112410,-0.019529,
184,0,1,-13.4648437500,-0.3223488033,-0.270361,0.548814,6.583952,-156.706238,0.112410,-0.019529,
185,0,1,-14.0820312500,-0.3247317672,-0.270361,0.548814,6.583952,-156.706238,0.112410,-0.019529,
186,0,1,-13.0410156250,-0.3207124174,-0.270361,0.548814,6.583952,-156.706238,0.112410,-0.019529,
187,0,1,-7.7441406250,-0.3002611697,-0.270361,0.548814,6.583952,-156.706238,0.112410,-0.019529,
188,0,1,-14.3164062500,-0.3256366849,-0.270361,0.548814,6.583952,-156.706238,0.112410,-0.019529,
189,0,1,-13.3027343750,-0.3217228949,-0.270361,0.548814,6.583952,-156.706238,0.112410,-0.019529,
190,0,1,-4.2851562500,-0.2869060040,-0.270361,0.548814,6.583952,-156.706238,0.112410,-0.019529,
191,0,1,-15.7656250000,-0.3312321305,-0.270361,0.548814,6.583952,-156.706238,0.112410,-0.019529,
192,0,1,-8.4589843750,-0.3030211627,-0.270361,0.548814,6.583952,-156.706238,0.022505,-0.003060,
193,0,1,-12.9726562500,-0.3204484880,-0.270361,0.548814,6.583952,-156.706238,0.022505,-0.003060,
194,0,1,-11.5136718750,-0.3148153424,-0.270361,0.548814,6.583952,-156.706238,0.022505,-0.003060,
195,0,1,-11.2265625000,-0.3137067854,-0.270361,0.548814,6.583952,-156.706238,0.022505,-0.003060,
196,0,1,-13.2636718750,-0.3215720952,-0.270361,0.548814,6.583952,-156.706238,0.022505,-0.003060,
197,0,1,-9.4696044922,-0.3069231808,-0.270361,0.548814,6.583952,-156.706238,0.022505,-0.003060,
198,0,1,-12.6210937500,-0.3190910816,-0.270361,0.548814,6.583952,-156.706238,0.022505,-0.003060,
199,0,1,-13.2851562500,-0.3216550350,-0.270361,0.548814,6.583952,-156.706238,0.022505,-0.003060,
200,0,1,-12.1660156250,-0.3173340261,-0.270361,0.548814,6.583952,-156.706238,0.022505,-0.003060,
201,0,1,-12.4746093750,-0.3185255229,-0.270361,0.548814,6.583952,-156.706238,0.022505,-0.003060,
202,0,1,-13.5546875000,-0.3226957023,-0.270361,0.548814,6.583952,-156.706238,0.022505,-0.003060,
203,0,1,-10.7402343750,-0.3118290901,-0.270361,0.548814,6.583952,-156.706238,0.022505,-0.003060,
204,0,1,-11.4277343750,-0.3144835234,-0.270361,0.548814,6.583952,-156.706238,0.022505,-0.003060,
205,0,1,-11.8828125000,-0.3162405789,-0.270361,0.548814,6.583952,-156.706238,0.022505,-0.003060,
206,0,1,-12.4062500000,-0.3182615638,-0.270361,0.548814,6.583952,-156.706238,0.022505,-0.003060,
207,0,1,-6.1230468750,-0.2940021157,-0.270361,0.548814,6.583952,-156.706238,0.859463,-0.655629,
208,0,1,-10.1718750000,-0.3096346557,-0.270361,0.548814,6.583952,-156.706238,0.859463,-0.655629,
209,0,1,-7.8164067268,-0.3005401790,-0.270361,0.548814,6.583952,-156.706238,0.859463,-0.655629,
210,0,1,-6.7109375000,-0.2962719500,-0.270361,0.548814,6.583952,-156.706238,0.859463,-0.655629,
211,0,1,-5.4084472656,-0.2912430465,-0.270361,0.548814,6.583952,-156.706238,0.859463,-0.655629,
212,0,1,-7.7363286018,-0.3002309799,-0.270361,0.548814,6.583952,-156.706238,0.859463,-0.655629,
213,0,1,-0.1367187500,-0.2708888650,-0.270361,0.548814,6.583952,-156.706238,0.859463,-0.655629,
214,0,1,-8.6875000000,-0.3039034605,-0.270361,0.548814,6.583952,-156.706238,0.859463,-0.655629,
215,0,1,-7.0253906250,-0.2974860668,-0.270361,0.548814,6.583952,-156.706238,0.859463,-0.655629,
216,0,1,-7.5996098518,-0.2997031212,-0.270361,0.548814,6.583952,-156.706238,0.859463,-0.655629,
217,0,1,-6.6455078125,-0.2960193157,-0.270361,0.548814,6.583952,-156.706238,0.859463,-0.655629,
218,0,1,-3.9257812500,-0.2855184674,-0.270361,0.548814,6.583952,-156.706238,0.859463,-0.655629,
219,0,1,-9.9101562500,-0.3086241484,-0.270361,0.548814,6.583952,-156.706238,0.859463,-0.655629,
220,0,1,-9.8720703125,-0.3084771037,-0.270361,0.548814,6.583952,-156.706238,0.001426,-0.000121,
221,0,1,-12.2226562500,-0.3175527155,-0.270361,0.548814,6.583952,-156.706238,0.001426,-0.000121,
222,0,1,-11.9838867188,-0.3166308403,-0.270361,0.548814,6.583952,-156.706238,0.001426,-0.000121,
223,0,1,-13.0566406250,-0.3207727373,-0.270361,0.548814,6.583952,-156.706238,0.001426,-0.000121,
224,0,1,-15.9843750000,-0.3320767283,-0.270361,0.548814,6.583952,-156.706238,0.001426,-0.000121,
225,0,1,-8.2500000000,-0.3022142947,-0.270361,0.548814,6.583952,-156.706238,0.017216,-0.002140,
226,0,1,-13.7402343750,-0.3234120905,-0.270361,0.548814,6.583952,-156.706238,0.017216,-0.002140,
227,0,1,-14.2304687500,-0.3253048956,-0.270361,0.548814,6.583952,-156.706238,0.017216,-0.002140,
228,0,1,-14.4492187500,-0.3261494935,-0.270361,0.548814,6.583952,-156.706238,0.017216,-0.002140,
229,0,1,-11.2851562500,-0.3139330447,-0.270361,0.548814,6.583952,-156.706238,0.017216,-0.002140,
230,0,1,-13.2402343750,-0.3214815855,-0.270361,0.548814,6.583952,-156.706238,0.017216,-0.002140,
231,0,1,-15.5742187500,-0.3304931223,-0.270361,0.548814,6.583952,-156.706238,0.017216,-0.002140,
232,0,1,-6.4375000000,-0.2952162027,-0.270361,0.548814,6.583952,-156.706238,0.017216,-0.002140,
233,0,1,-15.6640625000,-0.3308399916,-0.270361,0.548814,6.583952,-156.706238,0.017216,-0.002140,
234,0,1,-8.7685546875,-0.3042164147,-0.270361,0.548814,6.583952,-156.706238,0.017216,-0.002140,
235,0,1,-10.3098144531,-0.3101672232,-0.270361,0.548814,6.583952,-156.706238,0.017216,-0.002140,
236,0,1,-14.4746093750,-0.3262475133,-0.270361,0.548814,6.583952,-156.706238,0.017216,-0.002140,
237,0,1,-14.0703125000,-0.3246865273,-0.270361,0.548814,6.583952,-156.706238,0.017216,-0.002140,
238,0,1,-15.0078125000,-0.3283062279,-0.270361,0.548814,6.583952,-156.706238,0.017216,-0.002140,
239,0,1,-15.3398437500,-0.3295882046,-0.270361,0.548814,6.583952,-156.706238,0.017216,-0.002140,
240,0,1,-13.1718750000,-0.3212176561,-0.270361,0.548814,6.583952,-156.706238,0.017216,-0.002140,
241,0,1,-9.5722656250,-0.3073195517,-0.270361,0.548814,6.583952,-156.706238,0.017216,-0.002140,
242,0,1,-5.6777343750,-0.2922827601,-0.270361,0.548814,6.583952,-156.706238,0.040967,-0.005633,
243,0,1,-8.4873046875,-0.3031305075,-0.270361,0.548814,6.583952,-156.706238,0.040967,-0.005633,
244,0,1,-14.0703125000,-0.3246865273,-0.270361,0.548814,6.583952,-156.706238,0.040967,-0.005633,
245,0,1,-13.5351562500,-0.3226203024,-0.270361,0.548814,6.583952,-156.706238,0.040967,-0.005633,
